segment_brut;concept_final
abandon des poursuites disciplinaires;abandon des poursuites disciplinaires
cabinet de courtage;cabinet de courtage
caisse de crédit municipal;caisse de crédit municipal
exigence de fonds propre;capital réglementaire
insuffisance de fonds propre;capital réglementaire
capital minimum;capital réglementaire
fonds propres;capital réglementaire
changeur manuel;changement manuel
comptes d'épargne salariale;comptes d'épargne salariale
condition d'honorabilité des dirigeants;condition d'honorabilité
capacité professionnelle;condition d'honorabilité
condition d'honorabilité;condition d'honorabilité
respect de la condition d'honorabilité;condition d'honorabilité
contrats d'assurance sur la vie non réclamés;contrats d'assurance-vie non réclamés
contrats d'assurance sur la vie non réglés;contrats d'assurance-vie non réglés
déshérence;contrats en déshérence
contrats en déshérence;contrats en déshérence
contrôle des opérations et procédures internes;contrôle des opérations et procédures internes
devoir de conseil;devoir de conseil
respect des obligations d'information et de conseil précontractuels;devoir de conseil
respect des obligations d'information précontractuelle, du devoir de conseil et de l'obligation d'agir au mieux des intérêts du client;devoir de conseil
droit au compte;droit au compte
organisme d'assurance;entreprise d'assurance
entreprise d'assurance;entreprise d'assurance
entreprise d'investissement;entreprise d'investissement
gel des avoirs;gel des avoirs
règles de gouvernance;gouvernance
contrôle interne;gouvernance
gouvernance, contrôle de la conformité;gouvernance
information des assurés;information des assurés
obligation d'information;information des assurés
respect des obligations d'information et de conseil;information des assurés
institution de prévoyance;institution de prévoyance
intermédiaire d'assurances;intermédiaire d'assurances
intermédiaire d'assurance;intermédiaire en assurance
intermédiation d'assurance;intermédiaire en assurance
intermédiaire en financement participatif;intermédiaire en assurance
lutte contre la déshérence;lutte contre la déshérence
lutte contre le blanchiment des capitaux et le financement du terrorisme;lutte contre le blanchiment et le financement du terrorisme
lutte contre le blanchiment des capitaux;lutte contre le blanchiment et le financement du terrorisme
lutte contre le blanchiment et le financement du terrorisme;lutte contre le blanchiment et le financement du terrorisme
maîtrise des risques;maîtrise des risques
maîtrise des risques de crédit;maîtrise des risques
évaluation des risques;maîtrise des risques
système de surveillance et maîtrise des risques;maîtrise des risques
modification de contrats d'assurance;modification de contrats d'assurance
émetteur de monnaie électronique;monnaie électronique
établissement de monnaie électronique;monnaie électronique
non-respect d'une mise en demeure;non-respect de mise en demeure
non-respect d'une mise en demeure du collège de l'acpr;non-respect de mise en demeure
obligation d'identification des assurés décédés;obligation d'identification
organisation comptable;organisation comptable
établissement de paiement;paiement
établissement de paiement étranger;paiement
protection de la clientèle;protection des fonds collectés
protection des fonds collectés;protection des fonds collectés
protection des fonds reçus des clients;protection des fonds collectés
relations avec le superviseur;relations avec l'autorité de supervision
non-respect de l'article l. 322-2-2 du code des assurances;respect de la réglementation assurantielle
risque de crédit;risque
risque de non-conformité;risque
succursale;succursale bancaire
contrats d'épargne retraite;épargne retraite
établissement de crédit;établissement de crédit
établissement de crédit spécialisé;établissement de crédit
